tournament_id,tournament_name,tournament_date,tournament_purse,win_total,tournament_size,winner_name,winner_id,season_id
3777,Safeway Open,2017-10-05,6200000.0,273.0,144.0,Brendan Steele,3596,2018
3780,CIMB Classic,2017-10-12,7000000.0,264.0,78.0,Pat Perez,707,2018
3802,THE CJ CUP @ NINE BRIDGES,2017-10-19,9250000.0,279.0,78.0,Justin Thomas,4848,2018
3763,Sanderson Farms Championship,2017-10-26,4300000.0,269.0,132.0,Ryan Armour,1750,2018
3774,World Golf Championships-HSBC Champions,2017-10-26,9750000.0,274.0,78.0,Justin Rose,569,2018
3768,Shriners Hospitals for Children Open,2017-11-02,6800000.0,275.0,144.0,Patrick Cantlay,6007,2018
3776,OHL Classic at Mayakoba,2017-11-09,7100000.0,265.0,132.0,Patton Kizzire,3980,2018
3781,The RSM Classic,2017-11-16,6200000.0,261.0,156.0,Austin Cook,9517,2018
3791,Hero World Challenge,2017-11-30,3500000.0,270.0,18.0,Rickie Fowler,3702,2018
3742,Sentry Tournament of Champions,2018-01-04,6300000.0,268.0,34.0,Dustin Johnson,3448,2018
3747,Sony Open in Hawaii,2018-01-11,6200000.0,263.0,144.0,Patton Kizzire,3980,2018
3743,CareerBuilder Challenge,2018-01-18,5900000.0,266.0,156.0,Jon Rahm,9780,2018
3746,Farmers Insurance Open,2018-01-25,6900000.0,278.0,156.0,Jason Day,1680,2018
3744,Waste Management Phoenix Open,2018-02-01,6900000.0,266.0,132.0,Gary Woodland,3550,2018
3745,AT&T Pebble Beach Pro-Am,2018-02-08,7400000.0,270.0,156.0,"Ted Potter, Jr.",2883,2018
3748,Genesis Open,2018-02-15,7200000.0,272.0,144.0,Bubba Watson,780,2018
3749,The Honda Classic,2018-02-22,6600000.0,272.0,144.0,Justin Thomas,4848,2018
3789,World Golf Championships-Mexico Championship,2018-03-01,10000000.0,268.0,64.0,Phil Mickelson,308,2018
3771,Valspar Championship,2018-03-08,6500000.0,274.0,144.0,Paul Casey,72,2018
3750,Arnold Palmer Invitational presented by Mastercard,2018-03-15,8900000.0,270.0,120.0,Rory McIlroy,3470,2018
3772,World Golf Championships-Dell Technologies Match Play,2018-03-21,10000000.0,,0.0,,,2018
3803,Corales Puntacana Resort & Club Championship,2018-03-22,3000000.0,270.0,132.0,Brice Garnett,2283,2018
3756,Houston Open,2018-03-29,7000000.0,269.0,144.0,Ian Poulter,619,2018
401025221,2018 Masters Tournament,2018-04-05,11000000.0,273.0,87.0,Patrick Reed,5579,2018
401025246,RBC Heritage,2018-04-12,6700000.0,272.0,132.0,Satoshi Kodaira,9076,2018
401025247,Valero Texas Open,2018-04-19,6200000.0,271.0,156.0,Andrew Landry,4682,2018
401025248,Zurich Classic of New Orleans,2018-04-26,7200000.0,,,,,2018
401025249,Wells Fargo Championship,2018-05-03,7700000.0,272.0,156.0,Jason Day,1680,2018
401025250,The Players Championship,2018-05-10,10500000.0,270.0,144.0,Webb Simpson,1614,2018
401025251,AT&T Byron Nelson,2018-05-17,7700000.0,261.0,156.0,Aaron Wise,10577,2018
401025252,Fort Worth Invitational,2018-05-24,7100000.0,260.0,121.0,Justin Rose,569,2018
401025253,the Memorial Tournament pres. by Nationwide,2018-05-31,8900000.0,273.0,120.0,Bryson DeChambeau,10046,2018
401025254,FedEx St. Jude Classic,2018-06-07,6600000.0,261.0,156.0,Dustin Johnson,3448,2018
401025255,U.S. Open,2018-06-14,12000000.0,281.0,156.0,Brooks Koepka,6798,2018
401025256,Travelers Championship,2018-06-21,7000000.0,263.0,156.0,Bubba Watson,780,2018
401025270,Quicken Loans National,2018-06-28,7100000.0,259.0,120.0,Francesco Molinari,1483,2018
401025257,A Military Tribute at The Greenbrier,2018-07-05,7300000.0,261.0,156.0,Kevin Na,318,2018
401025258,John Deere Classic,2018-07-12,5800000.0,257.0,156.0,Michael Kim,8974,2018
401025259,The Open,2018-07-19,10800000.0,276.0,155.0,Francesco Molinari,1483,2018
401025271,Barbasol Championship,2018-07-19,3500000.0,265.0,132.0,Troy Merritt,3970,2018
401025260,RBC Canadian Open,2018-07-26,6200000.0,265.0,155.0,Dustin Johnson,3448,2018
401025261,WGC-Bridgestone Invitational,2018-08-02,10000000.0,265.0,71.0,Justin Thomas,4848,2018
401025262,Barracuda Championship,2018-08-02,3400000.0,,,,,2018
401025263,PGA Championship,2018-08-09,10500000.0,264.0,156.0,Brooks Koepka,6798,2018
401025264,Wyndham Championship,2018-08-16,6000000.0,259.0,156.0,Brandt Snedeker,1222,2018
401025265,THE NORTHERN TRUST,2018-08-23,9000000.0,266.0,119.0,Bryson DeChambeau,10046,2018
401025266,Dell Technologies Championship,2018-08-31,9000000.0,268.0,98.0,Bryson DeChambeau,10046,2018
401025267,BMW Championship,2018-09-06,9000000.0,260.0,69.0,Keegan Bradley,4513,2018
401025268,Tour Championship,2018-09-20,9000000.0,269.0,30.0,Tiger Woods,462,2018
401025269,Ryder Cup,2018-09-28,,,0.0,,,2018
